,Unnamed: 0,company_name,Date,Share Type,Amount Raised,Raised to Date,Issue Price,Post Money Valuation,Key Investors,Price Per Share,Shares Outstanding,Percent Shares Outstanding,Liquidation Pref Order,Liquidation Pref As Multiplier,Conversion Ratio,Participating,Participation Cap,Dividend Rate,Cumulative,Investors
1504,1504,greenlight,Sep 2019,Series B,$36.68MM,$62.79MM,$7.95,$170.46MM,"Drive Capital, JPMorgan Chase, Wells Fargo",$1.25,"1,440,886",13.0%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Boom Ventures, New Enterprise Associates, Relay Ventures, Social Capital, TTV Capital"
1505,1505,greenlight,Sep 2019,Series B-1,$17.02MM,$43.14MM,$7.95,$170.46MM,"Drive Capital, JPMorgan Chase, Wells Fargo",$1.25,"1,440,886",13.0%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Boom Ventures, New Enterprise Associates, Relay Ventures, Social Capital, TTV Capital"
1506,1506,greenlight,Jul 2018,Series A,$9.67MM,$16.24MM,$3.55,$50.97MM,"Ally Ventures, Live Oak Bank, New Enterprise Associates",$1.25,"1,440,886",13.0%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Boom Ventures, New Enterprise Associates, Relay Ventures, Social Capital, TTV Capital"
1507,1507,greenlight,Jul 2018,Series A-1,$9.87MM,$16.44MM,$3.55,$50.97MM,"Ally Ventures, Live Oak Bank, New Enterprise Associates",$1.25,"1,440,886",13.0%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Boom Ventures, New Enterprise Associates, Relay Ventures, Social Capital, TTV Capital"
1508,1508,greenlight,May 2017,Series Seed,$4.77MM,$4.77MM,$2.00,$13.91MM,"Boom Ventures, New Enterprise Associates, Relay Ventures",$1.25,"1,440,886",13.0%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Boom Ventures, New Enterprise Associates, Relay Ventures, Social Capital, TTV Capital"
1509,1509,greenlight,May 2017,Series Seed-1,$1.8MM,$1.8MM,$1.25,$13.91MM,"Boom Ventures, New Enterprise Associates, Relay Ventures",$1.25,"1,440,886",13.0%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Boom Ventures, New Enterprise Associates, Relay Ventures, Social Capital, TTV Capital"
1510,1510,exabeam,May 2023,Series F-1,$258.01MM,$642.51MM,$29.19,$2.65B,Undisclosed Investors,$0.38,"8,000,000",35.0%,2nd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Norwest Venture Partners, Aspect Venture Partners"
1511,1511,exabeam,Jun 2021,Series F,$200MM,$384.5MM,$29.19,$2.4B,"Blue Owl Capital, Acrew Capital, Lightspeed Venture Partners",$0.38,"8,000,000",35.0%,2nd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Norwest Venture Partners, Aspect Venture Partners"
1512,1512,exabeam,May 2019,Series E,$75MM,$184.5MM,$12.63,$772.01MM,"3737 North Capital, Aspect Ventures, Cisco Investments",$0.38,"8,000,000",35.0%,2nd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Norwest Venture Partners, Aspect Venture Partners"
1513,1513,exabeam,Aug 2018,Series D,$45.11MM,$109.5MM,$9.66,$551.59MM,"Lightspeed Venture Partners, Cisco Investments, Icon Ventures",$0.38,"8,000,000",35.0%,2nd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Norwest Venture Partners, Aspect Venture Partners"
1514,1514,exabeam,Feb 2017,Series C,$30.27MM,$64.39MM,$5.57,$270.6MM,"Lightspeed Venture Partners, Cisco Investments, Norwest Venture Partners",$0.38,"8,000,000",35.0%,2nd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Norwest Venture Partners, Aspect Venture Partners"
1515,1515,exabeam,Sep 2015,Series B,$21.11MM,$34.11MM,$3.24,$139.8MM,"Icon Ventures, Aspect Venture Partners, Shlomo Kramer",$0.38,"8,000,000",35.0%,2nd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Norwest Venture Partners, Aspect Venture Partners"
1516,1516,exabeam,Jun 2014,Series A-1,$10MM,$13MM,$1.09,$37.41MM,"Norwest Venture Partners, Aspect Venture Partners, Shlomo Kramer",$0.38,"8,000,000",35.0%,2nd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Norwest Venture Partners, Aspect Venture Partners"
1517,1517,exabeam,Jun 2013,Series A,$3MM,$3MM,$0.38,$8.57MM,"Norwest Venture Partners, Aspect Venture Partners",$0.38,"8,000,000",35.0%,2nd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Norwest Venture Partners, Aspect Venture Partners"
1518,1518,mparticle,Oct 2021,Series E,$150MM,$251.24MM,$6.54,$692.34MM,"Permira, Mark Garrett, Jake Bailey",$0.95,"4,936,125",25.0%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Social Capital, Bowery Capital, Golden Venture Partners, Greylock, Google Ventures"
1519,1519,mparticle,Oct 2021,Series D-1,$82.1MM,$183.34MM,$6.54,$692.34MM,"Permira, Mark Garrett, Jake Bailey",$0.95,"4,936,125",25.0%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Social Capital, Bowery Capital, Golden Venture Partners, Greylock, Google Ventures"
1520,1520,mparticle,Mar 2020,Series D,$26.95MM,$101.24MM,$3.67,$274.51MM,Arrowroot Capital,$0.95,"4,936,125",25.0%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Social Capital, Bowery Capital, Golden Venture Partners, Greylock, Google Ventures"
1521,1521,mparticle,Sep 2017,Series C,$35.91MM,$74.29MM,$3.21,$185.56MM,"Harmony Partners, Bain Capital Ventures, Social Capital",$0.95,"4,936,125",25.0%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Social Capital, Bowery Capital, Golden Venture Partners, Greylock, Google Ventures"
1522,1522,mparticle,Oct 2016,Series B,$17.5MM,$38.38MM,$1.46,$65.79MM,"Bain Capital Ventures, Social Capital, Bowery Capital",$0.95,"4,936,125",25.0%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Social Capital, Bowery Capital, Golden Venture Partners, Greylock, Google Ventures"
1523,1523,mparticle,Jan 2016,Series A,$16.18MM,$20.88MM,$1.31,$41.18MM,"Social Capital, Bowery Capital, Eniac Ventures",$0.95,"4,936,125",25.0%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Social Capital, Bowery Capital, Golden Venture Partners, Greylock, Google Ventures"
1524,1524,mparticle,Oct 2013,Series Seed,$4.7MM,$4.7MM,$0.95,$18.8MM,"Social Capital, Bowery Capital, Golden Venture Partners",$0.95,"4,936,125",25.0%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Social Capital, Bowery Capital, Golden Venture Partners, Greylock, Google Ventures"
1525,1525,newsela,Feb 2021,Series D,$100MM,$188.97MM,$21.16,$1.08B,"Franklin Templeton, TCV, Owl Ventures",$1.00,"1,177,298",7.2%,2nd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,Undisclosed Investors
1526,1526,newsela,Mar 2019,Series C,$54.26MM,$88.97MM,$4.98,$225.58MM,TCV,$1.00,"1,177,298",7.2%,2nd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,Undisclosed Investors
1527,1527,newsela,Mar 2017,Series B-2,$13.5MM,$34.71MM,$2.90,$85.76MM,Undisclosed Investors,$1.00,"1,177,298",7.2%,2nd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,Undisclosed Investors
1528,1528,newsela,Oct 2015,Series B,$14.65MM,$21.21MM,$2.90,$67.34MM,"Kleiner Perkins, Mark Zuckerberg, Priscilla Chan",$1.00,"1,177,298",7.2%,2nd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,Undisclosed Investors
1529,1529,newsela,Sep 2014,Series A,$5.38MM,$5.38MM,$1.00,$18.75MM,Undisclosed Investors,$1.00,"1,177,298",7.2%,2nd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,Undisclosed Investors
1530,1530,newsela,Sep 2014,Series A-1,$1.18MM,$1.18MM,$1.00,$16.4MM,Undisclosed Investors,$1.00,"1,177,298",7.2%,2nd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,Undisclosed Investors
1531,1531,outdoorsy,Jun 2021,Series D,$46.77MM,$134.52MM,$8.14,$1.84B,"Moore Strategic Ventures, ADAR1 Partners, Monashee Capital",$0.21,"25,250,000",4.9%,1st,1.0x,1.0x,Non-participating,,6.0%,Non-cumulative,Undisclosed Investors
1532,1532,outdoorsy,Jun 2021,Series D-2,$38.69MM,$126.44MM,$7.33,$1.84B,"Moore Strategic Ventures, ADAR1 Partners, Monashee Capital",$0.21,"25,250,000",4.9%,1st,1.0x,1.0x,Non-participating,,6.0%,Non-cumulative,Undisclosed Investors
1533,1533,outdoorsy,Jun 2021,Series D-1,$4.54MM,$92.29MM,$2.88,$1.84B,"Moore Strategic Ventures, ADAR1 Partners, Monashee Capital",$0.21,"25,250,000",4.9%,1st,1.0x,1.0x,Non-participating,,6.0%,Non-cumulative,Undisclosed Investors
1534,1534,outdoorsy,Jan 2019,Series C,$42.48MM,$87.75MM,$1.68,$387.95MM,"Greenspring Associates, Aviva Ventures, Altos Ventures",$0.21,"25,250,000",4.9%,1st,1.0x,1.0x,Non-participating,,6.0%,Non-cumulative,Undisclosed Investors
1535,1535,outdoorsy,Feb 2018,Series B,$29.63MM,$45.27MM,$1.00,$190.47MM,"Aviva Ventures, Altos Ventures, Tandem Capital",$0.21,"25,250,000",4.9%,1st,1.0x,1.0x,Non-participating,,6.0%,Non-cumulative,Undisclosed Investors
1536,1536,outdoorsy,Jan 2016,Series A,$10.38MM,$10.38MM,$0.87,$107.64MM,Undisclosed Investors,$0.21,"25,250,000",4.9%,1st,1.0x,1.0x,Non-participating,,6.0%,Non-cumulative,Undisclosed Investors
1537,1537,outdoorsy,Jan 2016,Series A-1,$5.26MM,$5.26MM,$0.21,$107.64MM,Undisclosed Investors,$0.21,"25,250,000",4.9%,1st,1.0x,1.0x,Non-participating,,6.0%,Non-cumulative,Undisclosed Investors
1538,1538,guideline,Apr 2021,Series E,$199.63MM,$355.82MM,$22.77,$1.15B,"General Atlantic, Generation Investment Management, Greyhound Capital",$1.55,"8,233,018",47.3%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Lerer Hippeau, New Enterprise Associates, Propel Venture Partners"
1539,1539,guideline,Jul 2020,Series D,$83.67MM,$153.18MM,$10.59,$450.21MM,"Generation Investment Management, Greyhound Capital, Tiger Global Management",$1.55,"8,233,018",47.3%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Lerer Hippeau, New Enterprise Associates, Propel Venture Partners"
1540,1540,guideline,Jul 2020,Series D-1,$3MM,$72.51MM,$10.59,$450.21MM,"Generation Investment Management, Greyhound Capital, Tiger Global Management",$1.55,"8,233,018",47.3%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Lerer Hippeau, New Enterprise Associates, Propel Venture Partners"
1541,1541,guideline,Dec 2018,Series C,$39.25MM,$69.51MM,$4.99,$170MM,"Felicis Ventures, Propel Venture Partners, Tiger Global Management",$1.55,"8,233,018",47.3%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Lerer Hippeau, New Enterprise Associates, Propel Venture Partners"
1542,1542,guideline,Aug 2017,Series B,$17.49MM,$30.26MM,$3.38,$85MM,Felicis Ventures,$1.55,"8,233,018",47.3%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Lerer Hippeau, New Enterprise Associates, Propel Venture Partners"
1543,1543,guideline,Jul 2016,Series A,$12.77MM,$12.77MM,$1.55,$27MM,"Lerer Hippeau, New Enterprise Associates, Propel Venture Partners",$1.55,"8,233,018",47.3%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Lerer Hippeau, New Enterprise Associates, Propel Venture Partners"
1544,1544,incorta,Jun 2021,Series D,$87.25MM,$168.19MM,$6.44,$512.31MM,"Prysm Capital, GV, Kleiner Perkins",$1.01,"4,153,330",20.6%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Wilson Sonsini Goodrich & Rosati, Undisclosed Investors"
1545,1545,incorta,Sep 2019,Series C-1,$7MM,$80.94MM,$4.80,$258.46MM,Undisclosed Investors,$1.01,"4,153,330",20.6%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Wilson Sonsini Goodrich & Rosati, Undisclosed Investors"
1546,1546,incorta,Aug 2019,Series C,$30MM,$73.94MM,$4.36,$225.68MM,"Sorenson Capital, GV, M12",$1.01,"4,153,330",20.6%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Wilson Sonsini Goodrich & Rosati, Undisclosed Investors"
1547,1547,incorta,Oct 2018,Series B-1,$15MM,$43.94MM,$2.74,$81.98MM,"M12, Telstra Ventures",$1.01,"4,153,330",20.6%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Wilson Sonsini Goodrich & Rosati, Undisclosed Investors"
1548,1548,incorta,Sep 2017,Series B,$15MM,$28.94MM,$1.78,$60MM,Kleiner Perkins Caufield & Byers,$1.01,"4,153,330",20.6%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Wilson Sonsini Goodrich & Rosati, Undisclosed Investors"
1549,1549,incorta,May 2016,Series A,$9.75MM,$13.94MM,$1.21,$38MM,"GV, SV Angel, Ronald Wohl",$1.01,"4,153,330",20.6%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Wilson Sonsini Goodrich & Rosati, Undisclosed Investors"
1550,1550,incorta,Sep 2015,Series Seed,$4.19MM,$4.19MM,$1.01,$20.35MM,"Wilson Sonsini Goodrich & Rosati, Undisclosed Investors",$1.01,"4,153,330",20.6%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Wilson Sonsini Goodrich & Rosati, Undisclosed Investors"
1551,1551,innovaccer,Apr 2024,Series F-1,$222.61MM,$601.23MM,$7.39,$4B,Undisclosed Investors,$0.24,"63,840,830",18.5%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,Undisclosed Investors
1552,1552,innovaccer,Apr 2024,Series F-2,$177.39MM,$556.01MM,$3.92,$4B,Undisclosed Investors,$0.24,"63,840,830",18.5%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,Undisclosed Investors
1553,1553,innovaccer,Dec 2021,Series E,$150MM,$378.62MM,$7.82,$3.19B,"Mubadala Capital, B Capital Group, Microsoft",$0.24,"63,840,830",18.5%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,Undisclosed Investors
1554,1554,innovaccer,Feb 2021,Series D,$80MM,$228.62MM,$3.48,$1.33B,"Tiger Global Management, Steadview Capital, Dragoneer",$0.24,"63,840,830",18.5%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,Undisclosed Investors
1555,1555,innovaccer,Feb 2020,Series C-1,$29.54MM,$81.32MM,$1.18,$356.16MM,"Steadview Capital, Tiger Global Management, Dragoneer",$0.24,"63,840,830",18.5%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,Undisclosed Investors
1556,1556,innovaccer,Feb 2020,Series C,$67.3MM,$119.08MM,$1.03,$356.16MM,"Steadview Capital, Tiger Global Management, Dragoneer",$0.24,"63,840,830",18.5%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,Undisclosed Investors
1557,1557,innovaccer,May 2018,Series B-1,$11.2MM,$26.78MM,$0.72,$208.9MM,"Westbridge, Lightspeed Ventures",$0.24,"63,840,830",18.5%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,Undisclosed Investors
1558,1558,innovaccer,May 2018,Series B,$25MM,$40.58MM,$0.61,$208.9MM,"Westbridge, Lightspeed Ventures",$0.24,"63,840,830",18.5%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,Undisclosed Investors
1559,1559,innovaccer,Jul 2016,Series A,$15.58MM,$15.58MM,$0.24,$84.21MM,Undisclosed Investors,$0.24,"63,840,830",18.5%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,Undisclosed Investors
1560,1560,sendbird,Apr 2021,Series C,$100.01MM,$222.83MM,$7.00,$1.06B,"Steadfast Capital Ventures, Emergence Capital, SoftBank",$0.15,"6,104,350",11.7%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Albatross Investment, FundersClub, Y Combinator"
1561,1561,sendbird,Apr 2019,Series B-1,$50MM,$122.82MM,$3.86,$546.14MM,"Steadfast Capital Ventures, SoftBank, ICONIQ Capital",$0.15,"6,104,350",11.7%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Albatross Investment, FundersClub, Y Combinator"
1562,1562,sendbird,Feb 2019,Series B,$52MM,$72.82MM,$2.25,$284.61MM,"Tiger Global Management, ICONIQ Capital",$0.15,"6,104,350",11.7%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Albatross Investment, FundersClub, Y Combinator"
1563,1563,sendbird,Dec 2017,Series A-5,$16.87MM,$18.97MM,$0.65,$65.11MM,"Shasta Ventures, August Capital, Y Combinator",$0.15,"6,104,350",11.7%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Albatross Investment, FundersClub, Y Combinator"
1564,1564,sendbird,Dec 2017,Series A-4,$904.49K,$3MM,$0.42,$65.11MM,"Shasta Ventures, August Capital, Y Combinator",$0.15,"6,104,350",11.7%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Albatross Investment, FundersClub, Y Combinator"
1565,1565,sendbird,Dec 2017,Series A-3,$5K,$2.1MM,$0.35,$65.11MM,"Shasta Ventures, August Capital, Y Combinator",$0.15,"6,104,350",11.7%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Albatross Investment, FundersClub, Y Combinator"
1566,1566,sendbird,Dec 2017,Series A-2,$844.5K,$2.94MM,$0.21,$65.11MM,"Shasta Ventures, August Capital, Y Combinator",$0.15,"6,104,350",11.7%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Albatross Investment, FundersClub, Y Combinator"
1567,1567,sendbird,Dec 2017,Series A-1,$100K,$2.19MM,$0.17,$65.11MM,"Shasta Ventures, August Capital, Y Combinator",$0.15,"6,104,350",11.7%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Albatross Investment, FundersClub, Y Combinator"
1568,1568,sendbird,Mar 2016,Series Seed-2,$1.19MM,$1.19MM,$0.19,$7.7MM,"Albatross Investment, FundersClub, Y Combinator",$0.15,"6,104,350",11.7%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Albatross Investment, FundersClub, Y Combinator"
1569,1569,sendbird,Mar 2016,Series Seed,$902.22K,$902.22K,$0.15,$7.7MM,"Albatross Investment, FundersClub, Y Combinator",$0.15,"6,104,350",11.7%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Albatross Investment, FundersClub, Y Combinator"
1570,1570,skillshare,Nov 2022,Series E-2,$3.34MM,$118.19MM,$16.57,$337.26MM,Undisclosed Investors,$0.88,"625,000",40.0%,2nd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Founder Collective, SV Angel"
1571,1571,skillshare,Nov 2022,Series E-1,$35.09MM,$149.94MM,$16.57,$337.26MM,Undisclosed Investors,$0.88,"625,000",40.0%,2nd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Founder Collective, SV Angel"
1572,1572,skillshare,Oct 2020,Series D,$71.44MM,$114.85MM,$28.45,$494.06MM,"OMERS Growth Equity, Adobe",$0.88,"625,000",40.0%,2nd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Founder Collective, SV Angel"
1573,1573,skillshare,Jul 2018,Series C,$21.63MM,$43.41MM,$5.76,$82.81MM,"Union Square Ventures, Burda Principal Investments, Amasia",$0.88,"625,000",40.0%,2nd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Founder Collective, SV Angel"
1574,1574,skillshare,May 2016,Series B,$11.88MM,$21.78MM,$5.34,$49.39MM,"Amasia, Omidyar Network, Union Square Ventures",$0.88,"625,000",40.0%,2nd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Founder Collective, SV Angel"
1575,1575,skillshare,Feb 2014,Series A-2,$4.14MM,$9.91MM,$3.62,$21.89MM,"Union Square Ventures, Spark Capital",$0.88,"625,000",40.0%,2nd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Founder Collective, SV Angel"
1576,1576,skillshare,Aug 2011,Series A-1,$5.22MM,$5.77MM,$3.35,$14.62MM,"Union Square Ventures, Spark Capital",$0.88,"625,000",40.0%,2nd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Founder Collective, SV Angel"
1577,1577,skillshare,Jan 2011,Series A,$550K,$550K,$0.88,$1.38MM,"Founder Collective, SV Angel",$0.88,"625,000",40.0%,2nd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Founder Collective, SV Angel"
1578,1578,mark43,Mar 2024,Series F,$55MM,$315.61MM,$1.87,$306.23MM,General Catalyst,$0.27,"7,316,388",35.0%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Peter Boyce, Sam Teller, Nitesh Banta, Matt Mazzeo, Edward Zimmerman, Spark Capital, General Catalyst, Lowercase Capital, SV Angel, Launchpad LA, Rough Draft Ventures, Tom Eisenmann, Vance Serchuk, David Petraeus, Jonathan Smidt, Sheel Tyle, Ray Rothrock, Michael Greeley"
1579,1579,mark43,Jul 2021,Series E-1,$1.97MM,$161.58MM,$14.06,$1.63B,"The Spruce House Partnership, Tiger Global Management, The Radcliff Companies",$0.27,"7,316,388",35.0%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Peter Boyce, Sam Teller, Nitesh Banta, Matt Mazzeo, Edward Zimmerman, Spark Capital, General Catalyst, Lowercase Capital, SV Angel, Launchpad LA, Rough Draft Ventures, Tom Eisenmann, Vance Serchuk, David Petraeus, Jonathan Smidt, Sheel Tyle, Ray Rothrock, Michael Greeley"
1580,1580,mark43,Jul 2021,Series E,$99.03MM,$258.63MM,$14.06,$1.63B,"The Spruce House Partnership, Tiger Global Management, The Radcliff Companies",$0.27,"7,316,388",35.0%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Peter Boyce, Sam Teller, Nitesh Banta, Matt Mazzeo, Edward Zimmerman, Spark Capital, General Catalyst, Lowercase Capital, SV Angel, Launchpad LA, Rough Draft Ventures, Tom Eisenmann, Vance Serchuk, David Petraeus, Jonathan Smidt, Sheel Tyle, Ray Rothrock, Michael Greeley"
1581,1581,mark43,Apr 2020,Series D,$50MM,$159.61MM,$3.48,$343.62MM,Avenir Capital,$0.27,"7,316,388",35.0%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Peter Boyce, Sam Teller, Nitesh Banta, Matt Mazzeo, Edward Zimmerman, Spark Capital, General Catalyst, Lowercase Capital, SV Angel, Launchpad LA, Rough Draft Ventures, Tom Eisenmann, Vance Serchuk, David Petraeus, Jonathan Smidt, Sheel Tyle, Ray Rothrock, Michael Greeley"
1582,1582,mark43,Mar 2018,Series C,$69.52MM,$109.61MM,$2.86,$200.53MM,"General Catalyst, Breyer Capital",$0.27,"7,316,388",35.0%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Peter Boyce, Sam Teller, Nitesh Banta, Matt Mazzeo, Edward Zimmerman, Spark Capital, General Catalyst, Lowercase Capital, SV Angel, Launchpad LA, Rough Draft Ventures, Tom Eisenmann, Vance Serchuk, David Petraeus, Jonathan Smidt, Sheel Tyle, Ray Rothrock, Michael Greeley"
1583,1583,mark43,Apr 2016,Series B,$27MM,$40.09MM,$2.35,$145.49MM,"General Catalyst, Spark Capital",$0.27,"7,316,388",35.0%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Peter Boyce, Sam Teller, Nitesh Banta, Matt Mazzeo, Edward Zimmerman, Spark Capital, General Catalyst, Lowercase Capital, SV Angel, Launchpad LA, Rough Draft Ventures, Tom Eisenmann, Vance Serchuk, David Petraeus, Jonathan Smidt, Sheel Tyle, Ray Rothrock, Michael Greeley"
1584,1584,mark43,Dec 2015,Series A,$11.14MM,$13.09MM,$0.73,$36.62MM,"Spark Capital, General Catalyst",$0.27,"7,316,388",35.0%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Peter Boyce, Sam Teller, Nitesh Banta, Matt Mazzeo, Edward Zimmerman, Spark Capital, General Catalyst, Lowercase Capital, SV Angel, Launchpad LA, Rough Draft Ventures, Tom Eisenmann, Vance Serchuk, David Petraeus, Jonathan Smidt, Sheel Tyle, Ray Rothrock, Michael Greeley"
1585,1585,mark43,Jul 2013,Series Seed,$1.95MM,$1.95MM,$0.27,$5.57MM,"Peter Boyce, Sam Teller, Nitesh Banta",$0.27,"7,316,388",35.0%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Peter Boyce, Sam Teller, Nitesh Banta, Matt Mazzeo, Edward Zimmerman, Spark Capital, General Catalyst, Lowercase Capital, SV Angel, Launchpad LA, Rough Draft Ventures, Tom Eisenmann, Vance Serchuk, David Petraeus, Jonathan Smidt, Sheel Tyle, Ray Rothrock, Michael Greeley"
1586,1586,unqork,Oct 2020,Series C,$207MM,$407.47MM,$27.38,$2.11B,"BlackRock, Eldridge, Fin Venture Capital",$0.84,"2,038,320",11.5%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,Undisclosed Investors
1587,1587,unqork,Feb 2020,Series B,$103.64MM,$130.81MM,$11.38,$364.85MM,"BlackRock, CapitalG",$0.84,"2,038,320",11.5%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,Undisclosed Investors
1588,1588,unqork,Feb 2020,Series B-1,$9.66MM,$36.83MM,$9.67,$364.85MM,"BlackRock, CapitalG",$0.84,"2,038,320",11.5%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,Undisclosed Investors
1589,1589,unqork,Feb 2020,Series B-3,$30MM,$57.17MM,$5.57,$364.85MM,"BlackRock, CapitalG",$0.84,"2,038,320",11.5%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,Undisclosed Investors
1590,1590,unqork,Feb 2020,Series B-2,$30MM,$57.17MM,$5.57,$364.85MM,"BlackRock, CapitalG",$0.84,"2,038,320",11.5%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,Undisclosed Investors
1591,1591,unqork,Apr 2019,Series A-1,$11MM,$16.17MM,$4.43,$91.92MM,"Goldman Sachs Principal Strategic Instruments, Broadridge Financial Solutions",$0.84,"2,038,320",11.5%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,Undisclosed Investors
1592,1592,unqork,Apr 2019,Series A,$11MM,$16.17MM,$4.43,$91.92MM,"Goldman Sachs Principal Strategic Instruments, Broadridge Financial Solutions",$0.84,"2,038,320",11.5%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,Undisclosed Investors
1593,1593,unqork,Mar 2018,Series Seed,$3.45MM,$3.45MM,$1.13,$14.91MM,Undisclosed Investors,$0.84,"2,038,320",11.5%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,Undisclosed Investors
1594,1594,unqork,Mar 2018,Series Seed A,$1.72MM,$1.72MM,$0.84,$14.91MM,Undisclosed Investors,$0.84,"2,038,320",11.5%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,Undisclosed Investors
